-20.00000 +6.99146 +35.25853 -55.78631 +0.60400 -7.63633 +4.50552
-19.99000 +6.97254 +35.19722 -55.74021 +0.60671 -7.63689 +4.50993
-19.98000 +6.95367 +35.13590 -55.69406 +0.60943 -7.63744 +4.51434
-19.97000 +6.93484 +35.07456 -55.64787 +0.61214 -7.63800 +4.51875
-19.96000 +6.91605 +35.01322 -55.60163 +0.61486 -7.63856 +4.52316
-19.95000 +6.89732 +34.95186 -55.55535 +0.61757 -7.63911 +4.52756
-19.94000 +6.87863 +34.89050 -55.50903 +0.62029 -7.63966 +4.53196
-19.93000 +6.85998 +34.82912 -55.46265 +0.62300 -7.64021 +4.53635
-19.92000 +6.84138 +34.76773 -55.41624 +0.62572 -7.64076 +4.54074
-19.91000 +6.82283 +34.70633 -55.36978 +0.62843 -7.64131 +4.54513
-19.90000 +6.80432 +34.64492 -55.32327 +0.63115 -7.64185 +4.54951
-19.89000 +6.78586 +34.58349 -55.27672 +0.63386 -7.64240 +4.55389
-19.88000 +6.76744 +34.52206 -55.23012 +0.63658 -7.64294 +4.55827
-19.87000 +6.74907 +34.46061 -55.18348 +0.63929 -7.64349 +4.56265
-19.86000 +6.73074 +34.39916 -55.13680 +0.64201 -7.64403 +4.56702
-19.85000 +6.71247 +34.33769 -55.09007 +0.64472 -7.64457 +4.57138
-19.84000 +6.69423 +34.27621 -55.04329 +0.64744 -7.64510 +4.57575
-19.83000 +6.67605 +34.21472 -54.99648 +0.65016 -7.64564 +4.58011
-19.82000 +6.65791 +34.15323 -54.94961 +0.65287 -7.64618 +4.58446
-19.81000 +6.63981 +34.09172 -54.90270 +0.65559 -7.64671 +4.58882
-19.80000 +6.62176 +34.03019 -54.85575 +0.65830 -7.64725 +4.59317
-19.79000 +6.60376 +33.96866 -54.80875 +0.66102 -7.64778 +4.59751
-19.78000 +6.58580 +33.90712 -54.76171 +0.66374 -7.64831 +4.60185
-19.77000 +6.56789 +33.84557 -54.71463 +0.66645 -7.64884 +4.60619
-19.76000 +6.55003 +33.78400 -54.66750 +0.66917 -7.64936 +4.61053
-19.75000 +6.53221 +33.72243 -54.62032 +0.67189 -7.64989 +4.61486
-19.74000 +6.51444 +33.66084 -54.57310 +0.67460 -7.65042 +4.61919
-19.73000 +6.49671 +33.59925 -54.52584 +0.67732 -7.65094 +4.62351
-19.72000 +6.47903 +33.53764 -54.47853 +0.68003 -7.65146 +4.62784
-19.71000 +6.46139 +33.47602 -54.43118 +0.68275 -7.65198 +4.63215
-19.70000 +6.44380 +33.41439 -54.38378 +0.68547 -7.65250 +4.63647
-19.69000 +6.42626 +33.35276 -54.33635 +0.68818 -7.65302 +4.64078
-19.68000 +6.40876 +33.29111 -54.28886 +0.69090 -7.65354 +4.64509
-19.67000 +6.39131 +33.22945 -54.24133 +0.69362 -7.65405 +4.64939
-19.66000 +6.37391 +33.16778 -54.19376 +0.69634 -7.65457 +4.65369
-19.65000 +6.35655 +33.10610 -54.14615 +0.69905 -7.65508 +4.65799
-19.64000 +6.33924 +33.04441 -54.09849 +0.70177 -7.65559 +4.66228
-19.63000 +6.32197 +32.98271 -54.05078 +0.70449 -7.65610 +4.66657
-19.62000 +6.30475 +32.92100 -54.00303 +0.70720 -7.65661 +4.67086
