line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

  1  0.139677953480613E+05  299.299031  6.811600  4.734612  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.9352  4.734612   -4.313  0.065672  7.691883  0.7169525E+00  0.2687816E+00  4.3333661E-05  1.1936720E-05  4.0568684E-03  4.8507643E-03  7.0327658E-06  1.3375873E-08  1.8753291E-03  1.1683736E-04  4.055E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.572468  0.0000000E+00  0.0000000000E+00
  2  0.458554558918306E+05  297.717720  6.810569  4.727708  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.9280  4.727708   -4.299  0.045293  7.684824  0.7088265E+00  0.2771043E+00  5.7090569E-05  1.5722572E-05  5.4195736E-03  3.2724786E-03  4.8043389E-06  9.0584262E-09  1.8717973E-03  6.1221630E-05  1.247E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.574143  0.0000000E+00  0.0000000000E+00
  3  0.777431164356001E+05  296.098318  6.809572  4.723424  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707438E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  8.435E-29  0.9212  4.723424   -4.291  0.036815  7.681717  0.7008022E+00  0.2852408E+00  6.4903181E-05  1.7872466E-05  6.1960030E-03  2.3732784E-03  3.5028026E-06  6.5796531E-09  1.8690782E-03  3.5158964E-05  1.809E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.575960  0.0000000E+00  0.0000000000E+00
  4  0.109630776979370E+06  294.450268  6.808636  4.719894  0.7200000E+00  0.2659559E+00  2.2831524E-03  2.7707442E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  1.916E-27  0.9154  4.719894   -4.283  0.032597  7.680015  0.6927713E+00  0.2933458E+00  7.0064561E-05  1.9292797E-05  6.7081589E-03  1.7801353E-03  2.6345024E-06  4.9393629E-09  1.8666939E-03  2.1644406E-05  2.226E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.577937  0.0000000E+00  0.0000000000E+00
  5  0.141518437523139E+06  292.775915  6.807783  4.716603  0.7200000E+00  0.2659559E+00  2.2831524E-03  2.7707455E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  2.009E-26  0.9096  4.716603   -4.277  0.030547  7.679025  0.6847033E+00  0.3014658E+00  7.3710549E-05  2.0296184E-05  7.0681364E-03  1.3632079E-03  2.0201330E-06  3.7842916E-09  1.8644868E-03  1.4287623E-05  2.549E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.580102  0.0000000E+00  0.0000000000E+00
  6  0.172991972605301E+06  291.098276  6.806999  4.713384  0.7200000E+00  0.2659559E+00  2.2831524E-03  2.7707488E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  1.568E-25  0.9058  4.713384   -4.270  0.029783  7.678459  0.6767017E+00  0.3095048E+00  7.6351589E-05  2.1023076E-05  7.3269016E-03  1.0634729E-03  1.5767338E-06  2.9529814E-09  1.8624137E-03  1.0214866E-05  2.800E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.582392  0.0000000E+00  0.0000000000E+00
  7  0.204465507687462E+06  289.395061  6.806370  4.710028  0.7200000E+00  0.2659559E+00  2.2831523E-03  2.7707561E-05  6.5875804E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  7.135E-25  0.9016  4.710028   -4.263  0.029881  7.678170  0.6686452E+00  0.3175892E+00  7.8346005E-05  2.1572092E-05  7.5200294E-03  8.3972946E-04  1.2448895E-06  2.3319568E-09  1.8604040E-03  7.8804867E-06  2.999E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.584972  0.0000000E+00  0.0000000000E+00
  8  0.235524917308016E+06  287.680053  6.805653  4.707152  0.7174759E+00  0.2683216E+00  6.0457310E-04  1.6038400E-05  3.2615212E-03  5.0039459E-03  5.7512560E-06  3.2389679E-06  1.8755945E-03  1.2321970E-04  2.713E-06  0.8983  4.707152   -4.252  0.030506  7.678055  0.6606288E+00  0.3256263E+00  7.9859254E-05  2.1988751E-05  7.6645534E-03  6.7226026E-04  9.9617070E-07  1.8669086E-09  1.8584583E-03  6.5439452E-06  3.154E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.586626  0.0000000E+00  0.0000000000E+00
