line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

  1  0.625937483668403E+05   22.996726  4.774127  4.575993  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4965  4.575993   -7.283  0.709607  7.586588  0.7169308E+00  0.2687732E+00  2.8539482E-05  7.7882862E-06  3.9080118E-03  5.0374356E-03  1.5830706E-05  1.6069100E-08  1.8761548E-03  5.9027009E-05  2.914E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.068347  0.0000000E+00  0.0000000000E+00
  2  0.207477291786336E+06   22.989156  4.778251  4.572097  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4943  4.572097   -7.280  0.690999  7.581085  0.7085163E+00  0.2773587E+00  3.6722592E-05  1.0020406E-05  5.1004465E-03  3.6647628E-03  1.1863173E-05  1.1809988E-08  1.8743723E-03  5.5313791E-06  8.865E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.069021  0.0000000E+00  0.0000000000E+00
  3  0.349342428051260E+06   22.981657  4.782498  4.569931  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4913  4.569931   -7.274  0.681605  7.578642  0.7002950E+00  0.2856854E+00  4.1719152E-05  1.1382954E-05  5.8263499E-03  2.8292592E-03  9.2588736E-06  9.1484247E-09  1.8729540E-03  7.4015806E-07  1.227E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.069722  0.0000000E+00  0.0000000000E+00
  4  0.491207564316183E+06   22.974038  4.787041  4.568414  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4887  4.568414   -7.266  0.675782  7.577369  0.6920240E+00  0.2940304E+00  4.5258851E-05  1.2348134E-05  6.3364737E-03  2.2421193E-03  7.3733873E-06  7.2624475E-09  1.8716777E-03  1.5739701E-07  1.440E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.070479  0.0000000E+00  0.0000000000E+00
  5  0.633072700581109E+06   22.966279  4.791541  4.567202  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4855  4.567202   -7.258  0.671734  7.576706  0.6836557E+00  0.3024540E+00  4.7920456E-05  1.3074418E-05  6.7161812E-03  1.8050622E-03  5.9462016E-06  5.8512505E-09  1.8704767E-03  7.9685397E-08  1.573E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.071237  0.0000000E+00  0.0000000000E+00
  6  0.771466668618274E+06   22.958560  4.796183  4.566200  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4829  4.566200   -7.249  0.668979  7.576439  0.6753717E+00  0.3107795E+00  4.9974595E-05  1.3634928E-05  7.0019592E-03  1.4760519E-03  4.8555451E-06  4.7847802E-09  1.8693457E-03  7.2535373E-08  1.649E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.072027  0.0000000E+00  0.0000000000E+00
  7  0.907675853188814E+06   22.950812  4.800815  4.565309  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4802  4.565309   -7.241  0.666948  7.576403  0.6671127E+00  0.3190707E+00  5.1745896E-05  1.4118106E-05  7.2233984E-03  1.2208350E-03  3.9882635E-06  3.9648035E-09  1.8682575E-03  7.6411584E-08  1.688E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.072824  0.0000000E+00  0.0000000000E+00
  8  0.104056156592864E+07   22.943098  4.805259  4.564489  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4771  4.564489   -7.232  0.665404  7.576537  0.6589273E+00  0.3272813E+00  5.3093552E-05  1.4488740E-05  7.3970212E-03  1.0207935E-03  3.3077994E-06  3.3042529E-09  1.8672063E-03  8.2673860E-08  1.700E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.073598  0.0000000E+00  0.0000000000E+00
