line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

  1  0.118607308336567E+06   13.999286  4.179338  4.487650  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3877  4.487650   -8.230  0.899982  7.551047  0.7169236E+00  0.2687721E+00  2.4883351E-05  6.7556325E-06  3.8702015E-03  5.0806733E-03  2.2340346E-05  1.7379122E-08  1.8763173E-03  3.8410317E-05  2.305E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.028542  0.0000000E+00  0.0000000000E+00
  2  0.389671246843225E+06   13.997689  4.182568  4.483779  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3896  4.483779   -8.229  0.881592  7.545822  0.7087250E+00  0.2771298E+00  3.1564440E-05  8.5729035E-06  4.9772230E-03  3.8090064E-03  1.7448260E-05  1.3269624E-08  1.8749490E-03  1.5110709E-06  6.559E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.028759  0.0000000E+00  0.0000000000E+00
  3  0.660735185349882E+06   13.996077  4.186920  4.481548  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3876  4.481548   -8.223  0.871766  7.543330  0.7005050E+00  0.2854530E+00  3.5878225E-05  9.7451485E-06  5.6881667E-03  2.9926568E-03  1.3875211E-05  1.0465231E-08  1.8738184E-03  8.7080273E-08  8.671E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.029052  0.0000000E+00  0.0000000000E+00
  4  0.931799123856537E+06   13.994442  4.191423  4.479977  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3849  4.479977   -8.216  0.865382  7.542006  0.6922153E+00  0.2938165E+00  3.8980880E-05  1.0588911E-05  6.1966645E-03  2.4088230E-03  1.1229375E-05  8.4382907E-09  1.8727985E-03  1.1158170E-08  9.688E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.029358  0.0000000E+00  0.0000000000E+00
  5  0.119608646390053E+07   13.992819  4.196153  4.478802  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3824  4.478802   -8.208  0.861142  7.541345  0.6840135E+00  0.3020730E+00  4.1311152E-05  1.1221890E-05  6.5730153E-03  1.9766962E-03  9.2313597E-06  6.9304934E-09  1.8718605E-03  6.6954374E-09  1.009E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.029683  0.0000000E+00  0.0000000000E+00
  6  0.145359720548185E+07   13.991209  4.200893  4.477854  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3802  4.477854   -8.200  0.858136  7.541077  0.6759215E+00  0.3102068E+00  4.3124667E-05  1.1713855E-05  6.8606470E-03  1.6464020E-03  7.6845705E-06  5.7739176E-09  1.8709809E-03  6.8026053E-09  1.013E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.030012  0.0000000E+00  0.0000000000E+00
  7  0.171110794706317E+07   13.989567  4.205579  4.477006  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3771  4.477006   -8.191  0.855757  7.541056  0.6676833E+00  0.3184785E+00  4.4594936E-05  1.2114394E-05  7.0921857E-03  1.3805099E-03  6.4302593E-06  4.8387607E-09  1.8701177E-03  7.3260933E-09  9.980E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.030341  0.0000000E+00  0.0000000000E+00
  8  0.196184209018183E+07   13.987937  4.210397  4.476274  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.3748  4.476274   -8.183  0.854111  7.541230  0.6595245E+00  0.3266640E+00  4.5804500E-05  1.2442133E-05  7.2759389E-03  1.1694291E-03  5.4295306E-06  4.0965723E-09  1.8692859E-03  7.9430080E-09  9.717E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.030683  0.0000000E+00  0.0000000000E+00
