line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

  1  0.154360583483058E+05  199.624198  6.567334  4.739777  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.8979  4.739777   -4.628  0.148511  7.680795  0.7169881E+00  0.2687413E+00  4.1596142E-05  1.1451606E-05  4.0303343E-03  4.8836390E-03  7.4332941E-06  1.3546019E-08  1.8754685E-03  1.1183186E-04  3.967E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.489077  0.0000000E+00  0.0000000000E+00
  2  0.472484233536009E+05  198.863272  6.566808  4.734389  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.8910  4.734389   -4.616  0.129207  7.674238  0.7097470E+00  0.2761601E+00  5.3599831E-05  1.4753330E-05  5.2633832E-03  3.4563513E-03  5.3329962E-06  9.6199671E-09  1.8725095E-03  5.6698859E-05  1.158E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.490353  0.0000000E+00  0.0000000000E+00
  3  0.790607883588960E+05  198.085265  6.566559  4.730883  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707437E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.8855  4.730883   -4.608  0.120415  7.671167  0.7025977E+00  0.2834164E+00  6.0788151E-05  1.6730506E-05  6.0041522E-03  2.5989486E-03  4.0351577E-06  7.2442577E-09  1.8701957E-03  3.1601830E-05  1.679E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.491997  0.0000000E+00  0.0000000000E+00
  4  0.110873153364191E+06  197.294133  6.566259  4.728228  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707438E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  7.324E-29  0.8801  4.728228   -4.601  0.115566  7.669404  0.6954462E+00  0.2906412E+00  6.5709952E-05  1.8084277E-05  6.5108348E-03  2.0124922E-03  3.1351934E-06  5.6142488E-09  1.8681608E-03  1.8907754E-05  2.072E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.493630  0.0000000E+00  0.0000000000E+00
  5  0.142685518369486E+06  196.491556  6.566003  4.725903  0.7200000E+00  0.2659559E+00  2.2831524E-03  2.7707441E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  6.759E-28  0.8753  4.725903   -4.595  0.112795  7.668325  0.6882591E+00  0.2978815E+00  6.9297519E-05  1.9071118E-05  6.8786845E-03  1.5867081E-03  2.4763799E-06  4.4285866E-09  1.8662767E-03  1.2146290E-05  2.381E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.495354  0.0000000E+00  0.0000000000E+00
  6  0.174008462374700E+06  195.690877  6.565703  4.723815  0.7200000E+00  0.2659559E+00  2.2831524E-03  2.7707448E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  3.133E-27  0.8707  4.723815   -4.590  0.111284  7.667662  0.6811424E+00  0.3050376E+00  7.1969047E-05  1.9806053E-05  7.1508165E-03  1.2716901E-03  1.9863590E-06  3.5503101E-09  1.8645122E-03  8.4836910E-06  2.624E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.497036  0.0000000E+00  0.0000000000E+00
  7  0.205331406379914E+06  194.879966  6.565598  4.721705  0.7200000E+00  0.2659559E+00  2.2831524E-03  2.7707465E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  2.075E-26  0.8670  4.721705   -4.584  0.110641  7.667279  0.6739819E+00  0.3122283E+00  7.4041104E-05  2.0376161E-05  7.3599339E-03  1.0295864E-03  1.6085233E-06  2.8748041E-09  1.8628061E-03  6.4242589E-06  2.820E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.498984  0.0000000E+00  0.0000000000E+00
  8  0.236654350385127E+06  194.058798  6.565401  4.719698  0.7200000E+00  0.2659559E+00  2.2831524E-03  2.7707496E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  9.504E-26  0.8632  4.719698   -4.579  0.110539  7.667074  0.6667749E+00  0.3194588E+00  7.5673762E-05  2.0825462E-05  7.5228134E-03  8.4098334E-04  1.3135093E-06  2.3482659E-09  1.8611388E-03  5.2560038E-06  2.978E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.500869  0.0000000E+00  0.0000000000E+00
