line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

  1  0.943104635454154E+05   16.999039  4.421678  4.524642  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4271  4.524642   -7.990  0.821812  7.565946  0.7168180E+00  0.2688841E+00  2.6407925E-05  7.1863279E-06  3.9066228E-03  5.0394253E-03  1.9217230E-05  1.6681208E-08  1.8762322E-03  4.4467276E-05  2.642E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.041069  0.0000000E+00  0.0000000000E+00
  2  0.304062320723186E+06   16.996900  4.425548  4.520805  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4269  4.520805   -7.992  0.803327  7.560628  0.7084842E+00  0.2773812E+00  3.3645391E-05  9.1562086E-06  5.0439402E-03  3.7317878E-03  1.4760329E-05  1.2546710E-08  1.8747064E-03  2.5291704E-06  7.566E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.041441  0.0000000E+00  0.0000000000E+00
  3  0.508820086063392E+06   16.994803  4.430177  4.518669  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4254  4.518669   -7.987  0.793875  7.558212  0.7003206E+00  0.2856475E+00  3.8170141E-05  1.0386911E-05  5.7516571E-03  2.9183183E-03  1.1669984E-05  9.8457615E-09  1.8734769E-03  2.1602464E-07  1.019E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.041891  0.0000000E+00  0.0000000000E+00
  4  0.713577851403598E+06   16.992679  4.434758  4.517149  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4226  4.517149   -7.981  0.787678  7.556920  0.6920631E+00  0.2939785E+00  4.1424906E-05  1.1272920E-05  6.2578635E-03  2.3365040E-03  9.3901316E-06  7.8960080E-09  1.8723629E-03  3.3873085E-08  1.166E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.042340  0.0000000E+00  0.0000000000E+00
  5  0.918335616743804E+06   16.990524  4.439487  4.515968  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4197  4.515968   -7.974  0.783365  7.556257  0.6837118E+00  0.3023851E+00  4.3897483E-05  1.1946207E-05  6.6381811E-03  1.8993654E-03  7.6459157E-06  6.4234584E-09  1.8713151E-03  1.8253248E-08  1.242E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.042809  0.0000000E+00  0.0000000000E+00
  6  0.111715041279731E+07   16.988393  4.444503  4.515027  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4176  4.515027   -7.966  0.780499  7.556007  0.6754846E+00  0.3106540E+00  4.5820104E-05  1.2469159E-05  6.9258613E-03  1.5686392E-03  6.3041374E-06  5.3052271E-09  1.8703337E-03  1.7901647E-08  1.274E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.043312  0.0000000E+00  0.0000000000E+00
  7  0.131338425719507E+07   16.986249  4.449258  4.514180  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4146  4.514180   -7.958  0.778162  7.555975  0.6672340E+00  0.3189376E+00  4.7430709E-05  1.2910763E-05  7.1524312E-03  1.3080441E-03  5.2028470E-06  4.4085079E-09  1.8693843E-03  1.9255860E-08  1.277E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.043794  0.0000000E+00  0.0000000000E+00
  8  0.150663325835309E+07   16.984097  4.453997  4.513443  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4116  4.513443   -7.949  0.776493  7.556162  0.6589870E+00  0.3272108E+00  4.8631966E-05  1.3235802E-05  7.3328190E-03  1.1006491E-03  4.3878047E-06  3.7171136E-09  1.8684603E-03  2.0901933E-08  1.262E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.044280  0.0000000E+00  0.0000000000E+00
