line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

  1  0.174423387038202E+05  149.752002  6.382510  4.736113  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.8677  4.736113   -4.862  0.208818  7.671839  0.7169114E+00  0.2688170E+00  4.0336400E-05  1.1098537E-05  4.0279220E-03  4.8881600E-03  7.8083683E-06  1.3641374E-08  1.8755288E-03  1.0672206E-04  4.006E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.425984  0.0000000E+00  0.0000000000E+00
  2  0.505271983093272E+05  149.290992  6.382470  4.731329  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.8617  4.731329   -4.851  0.190381  7.665652  0.7100846E+00  0.2758099E+00  5.1221625E-05  1.4091034E-05  5.1826789E-03  3.5521803E-03  5.7580134E-06  9.9451635E-09  1.8728936E-03  5.1906562E-05  1.115E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.427260  0.0000000E+00  0.0000000000E+00
  3  0.842028589792183E+05  148.811964  6.382607  4.728265  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.8565  4.728265   -4.843  0.181388  7.662597  0.7032186E+00  0.2827808E+00  5.8051352E-05  1.5968580E-05  5.9094290E-03  2.7114320E-03  4.4265830E-06  7.6027475E-09  1.8707716E-03  2.7588444E-05  1.620E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.428771  0.0000000E+00  0.0000000000E+00
  4  0.117287718584725E+06  148.333798  6.382706  4.725973  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707437E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.8514  4.725973   -4.837  0.176311  7.660845  0.6964774E+00  0.2895939E+00  6.2724890E-05  1.7253383E-05  6.4062288E-03  2.1367098E-03  3.5018636E-06  5.9963503E-09  1.8689336E-03  1.6011326E-05  1.995E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.430251  0.0000000E+00  0.0000000000E+00
  5  0.150963379254616E+06  147.840281  6.382901  4.723958  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707439E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  1.787E-29  0.8467  4.723958   -4.831  0.173204  7.659739  0.6895925E+00  0.2965328E+00  6.6243310E-05  1.8220698E-05  6.7787095E-03  1.7057883E-03  2.8017377E-06  4.7894698E-09  1.8672018E-03  9.9705266E-06  2.295E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.431882  0.0000000E+00  0.0000000000E+00
  6  0.184048238860123E+06  147.349018  6.383198  4.722105  0.7200000E+00  0.2659559E+00  2.2831524E-03  2.7707442E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  3.233E-28  0.8430  4.722105   -4.826  0.171393  7.659059  0.6827874E+00  0.3033782E+00  6.8892362E-05  1.8949101E-05  7.0572716E-03  1.3834943E-03  2.2746974E-06  3.8855817E-09  1.8655832E-03  6.8326630E-06  2.531E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.433618  0.0000000E+00  0.0000000000E+00
  7  0.216542297401246E+06  146.860557  6.383434  4.720424  0.7200000E+00  0.2659559E+00  2.2831524E-03  2.7707447E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  1.464E-27  0.8391  4.720424   -4.820  0.170394  7.658648  0.6760643E+00  0.3101322E+00  7.0938090E-05  1.9511688E-05  7.2705862E-03  1.1366639E-03  1.8694781E-06  3.1927860E-09  1.8640468E-03  5.1564595E-06  2.719E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.435296  0.0000000E+00  0.0000000000E+00
  8  0.249627157006753E+06  146.357140  6.383710  4.718723  0.7200000E+00  0.2659559E+00  2.2831524E-03  2.7707459E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  7.818E-27  0.8354  4.718723   -4.815  0.169959  7.658419  0.6691764E+00  0.3170449E+00  7.2603005E-05  1.9969646E-05  7.4422287E-03  9.3802239E-04  1.5424397E-06  2.6348927E-09  1.8625192E-03  4.2194915E-06  2.874E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.437071  0.0000000E+00  0.0000000000E+00
