line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

  9  0.123356421076342E+07   21.945442  4.760309  4.556764  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4644  4.556764   -7.320  0.679992  7.574029  0.6506406E+00  0.3355870E+00  5.3547450E-05  1.4607919E-05  7.5299451E-03  8.6853178E-04  2.8790510E-06  2.8238805E-09  1.8663674E-03  7.4596842E-08  1.629E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.069378  0.0000000E+00  0.0000000000E+00
 10  0.137166016169549E+07   21.938754  4.765024  4.556037  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4617  4.556037   -7.310  0.679263  7.574426  0.6422818E+00  0.3439624E+00  5.4449045E-05  1.4853792E-05  7.6444566E-03  7.3657603E-04  2.4318437E-06  2.3928674E-09  1.8653487E-03  8.1435370E-08  1.606E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.070157  0.0000000E+00  0.0000000000E+00
 11  0.150411954320177E+07   21.932207  4.769606  4.555351  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4591  4.555351   -7.302  0.678797  7.574887  0.6341403E+00  0.3521170E+00  5.5188803E-05  1.5055476E-05  7.7347955E-03  6.3242772E-04  2.0789734E-06  2.0526374E-09  1.8643665E-03  8.8666555E-08  1.574E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.070922  0.0000000E+00  0.0000000000E+00
 12  0.163657892470804E+07   21.925524  4.774091  4.554662  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4562  4.554662   -7.293  0.678417  7.575403  0.6258487E+00  0.3604195E+00  5.5822262E-05  1.5229192E-05  7.8097536E-03  5.4597726E-04  1.7863505E-06  1.7700147E-09  1.8633733E-03  9.6683126E-08  1.536E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.071680  0.0000000E+00  0.0000000000E+00
 13  0.176903830621432E+07   21.918702  4.778795  4.553968  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4535  4.553968   -7.284  0.678304  7.575987  0.6174217E+00  0.3688554E+00  5.6382702E-05  1.5382032E-05  7.8718088E-03  4.7434885E-04  1.5440356E-06  1.5360157E-09  1.8623687E-03  1.0553785E-07  1.493E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.072483  0.0000000E+00  0.0000000000E+00
 14  0.189586111829479E+07   21.912038  4.783282  4.553273  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4509  4.553273   -7.275  0.678214  7.576639  0.6092304E+00  0.3770539E+00  5.6850026E-05  1.5510221E-05  7.9211534E-03  4.1735472E-04  1.3514388E-06  1.3497249E-09  1.8613952E-03  1.1487013E-07  1.448E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.073258  0.0000000E+00  0.0000000000E+00
 15  0.202042930260495E+07   21.905358  4.787724  4.552570  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4482  4.552570   -7.267  0.678201  7.577222  0.6010266E+00  0.3852636E+00  5.7462380E-05  1.5679881E-05  7.9615064E-03  3.7037008E-04  1.1827050E-06  1.1957792E-09  1.8604216E-03  1.2512584E-07  1.401E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.074034  0.0000000E+00  0.0000000000E+00
 16  0.214408154438342E+07   21.898597  4.792283  4.551867  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4456  4.551867   -7.258  0.678346  7.577952  0.5927612E+00  0.3935339E+00  5.7858733E-05  1.5788264E-05  7.9951841E-03  3.3134369E-04  1.0502298E-06  1.0673952E-09  1.8594409E-03  1.3654632E-07  1.353E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.074838  0.0000000E+00  0.0000000000E+00
 17  0.226712503666390E+07   21.891734  4.796690  4.551146  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4427  4.551146   -7.249  0.678518  7.578669  0.5844057E+00  0.4018934E+00  5.8192874E-05  1.5880236E-05  8.0232332E-03  2.9883065E-04  9.4169289E-07  9.6124909E-10  1.8584489E-03  1.4880600E-07  1.305E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.075625  0.0000000E+00  0.0000000000E+00
 18  0.238765743726519E+07   21.884877  4.801239  4.550402  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4401  4.550402   -7.241  0.678942  7.579372  0.5760663E+00  0.4102361E+00  5.8498549E-05  1.5963917E-05  8.0462496E-03  2.7209952E-04  8.5241246E-07  8.7400434E-10  1.8574573E-03  1.6183947E-07  1.256E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.076445  0.0000000E+00  0.0000000000E+00
 19  0.250567874618729E+07   21.878033  4.805562  4.549653  0.7200000E+00  0.2659559E+00  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4372  4.549653   -7.233  0.679202  7.580180  0.5677832E+00  0.4185219E+00  5.8775127E-05  1.6040236E-05  8.0650822E-03  2.5018274E-04  7.7902317E-07  8.0237074E-10  1.8564702E-03  1.7587714E-07  1.209E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.077234  0.0000000E+00  0.0000000000E+00
