line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

  1  1.939841398033349E+04  119.917914  6.213800  4.734295  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.8191  4.734295   -5.373  0.300897  7.677127  7.3505360E-01  2.5888249E-01  2.7809618E-05  7.2069259E-06  2.0737110E-03  1.6816839E-03  2.3628834E-06  2.4249525E-08  8.0297603E-04  3.2423520E-05  3.802E-06  4.230E-05  4.110E-05  9.420E-01  1.102E+00  1.05E+03  0.00E+00  4.36E+02  0.589250  0.364509  0.0000000E+00  8.0336409348E+00
  2  6.716439364829172E+04  119.716683  6.216093  4.732368  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.8138  4.732368   -5.369  0.285404  7.672211  7.2657283E-01  2.6747082E-01  2.8242322E-05  7.7211301E-06  2.8341987E-03  8.1230239E-04  1.3337953E-06  3.6351157E-09  8.0032630E-04  8.0379362E-06  9.547E-06  3.844E-05  3.991E-05  9.504E-01  1.085E+00  1.04E+03  0.00E+00  3.99E+02  0.549987  0.367054  0.0000000E+00  7.9234369972E+00
  3  1.153893198154474E+05  119.508088  6.218528  4.730071  7.3805710E-01  2.5590040E-01  9.7849390E-04  1.1874617E-05  2.8232488E-04  2.4507751E-03  9.7097201E-07  5.5284602E-06  8.0438135E-04  6.5060718E-05  2.010E-14  0.8103  4.730071   -5.359  0.278442  7.670120  7.1809207E-01  2.7599584E-01  3.1075085E-05  8.5092388E-06  3.1410961E-03  4.5734731E-04  7.5344619E-07  2.3223363E-09  7.9820381E-04  3.3787284E-06  1.269E-05  3.733E-05  3.893E-05  9.512E-01  1.085E+00  1.03E+03  0.00E+00  3.93E+02  0.545948  0.369762  0.0000000E+00  7.8096098797E+00
  4  1.637123418268581E+05  119.294382  6.221055  4.728442  7.3805710E-01  2.5590040E-01  9.7849132E-04  1.1874774E-05  2.8232907E-04  2.4507735E-03  9.7097606E-07  5.5284438E-06  8.0438135E-04  6.5060652E-05  6.646E-12  0.8071  4.728442   -5.350  0.275784  7.669456  7.0961130E-01  2.8449868E-01  3.2511185E-05  8.9119823E-06  3.2946103E-03  2.7975901E-04  4.6070961E-07  1.6185739E-09  7.9625308E-04  2.2540573E-06  1.460E-05  3.640E-05  3.822E-05  9.520E-01  1.085E+00  1.02E+03  0.00E+00  3.87E+02  0.541551  0.372586  0.0000000E+00  7.6930553667E+00
  5  2.119494312949983E+05  119.076537  6.223659  4.727174  7.3805700E-01  2.5590050E-01  9.7843140E-04  1.1877205E-05  2.8243232E-04  2.4507328E-03  9.7106748E-07  5.5280724E-06  8.0438127E-04  6.5058932E-05  1.761E-10  0.8042  4.727174   -5.341  0.274963  7.669399  7.0113053E-01  2.9299108E-01  3.3303749E-05  9.1338951E-06  3.3765661E-03  1.8490705E-04  3.0386119E-07  1.2455559E-09  7.9438266E-04  1.9514841E-06  1.575E-05  3.580E-05  3.760E-05  9.523E-01  1.085E+00  1.02E+03  0.00E+00  3.84E+02  0.540330  0.375513  0.0000000E+00  7.5742741360E+00
  6  2.600232651497835E+05  118.854921  6.226331  4.726017  7.3805550E-01  2.5590200E-01  9.7799941E-04  1.1889210E-05  2.8321826E-04  2.4503983E-03  9.7169615E-07  5.5254433E-06  8.0438063E-04  6.5045061E-05  1.525E-09  0.8016  4.726017   -5.332  0.275055  7.669644  6.9264977E-01  3.0147813E-01  3.3759736E-05  9.2629028E-06  3.4218301E-03  1.3248693E-04  2.1708960E-07  1.0034327E-09  7.9255568E-04  1.8622191E-06  1.640E-05  3.517E-05  3.703E-05  9.527E-01  1.085E+00  1.01E+03  0.00E+00  3.81E+02  0.538270  0.378535  0.0000000E+00  7.4534635503E+00
  7  3.078989770825210E+05  118.629682  6.229067  4.724935  7.3804897E-01  2.5590846E-01  9.7644350E-04  1.1919655E-05  2.8621082E-04  2.4490242E-03  9.7380181E-07  5.5160868E-06  8.0437788E-04  6.4989623E-05  6.955E-09  0.7991  4.724935   -5.323  0.275646  7.670051  6.8416900E-01  3.0996238E-01  3.4023819E-05  9.3419195E-06  3.4473994E-03  1.0285771E-04  1.6804357E-07  7.6531517E-10  7.9075477E-04  1.8348215E-06  1.668E-05  3.466E-05  3.647E-05  9.529E-01  1.085E+00  1.00E+03  0.00E+00  3.78E+02  0.537469  0.381648  0.0000000E+00  7.3308104813E+00
  8  3.554365652976376E+05  118.401243  6.231807  4.723804  7.3802368E-01  2.5593382E-01  9.7189924E-04  1.1980987E-05  2.9552519E-04  2.4443888E-03  9.7927128E-07  5.4890004E-06  8.0436792E-04  6.4809584E-05  2.518E-08  0.7968  4.723804   -5.314  0.276429  7.670519  6.7568823E-01  3.1844507E-01  3.4280229E-05  9.4104987E-06  3.4623735E-03  8.5342724E-05  1.3846561E-07  7.7417836E-10  7.8897068E-04  1.8243948E-06  1.671E-05  3.411E-05  3.593E-05  9.531E-01  1.083E+00  9.99E+02  0.00E+00  3.75E+02  0.536343  0.384799  0.0000000E+00  7.2062336808E+00
