line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

  1  7.858376826820895E+04   19.998958  4.601364  4.557835  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.4670  4.557835   -7.897  0.812683  7.590392  7.3505650E-01  2.5885970E-01  1.7235728E-05  4.7368701E-06  1.9680315E-03  1.8173498E-03  4.7670874E-06  1.8050574E-08  8.0363336E-04  8.9460342E-06  2.876E-06  8.257E-05  7.998E-05  9.422E-01  1.069E+00  7.19E+02  0.00E+00  3.00E+02  0.588675  0.053352  0.0000000E+00  3.3257777514E-01
  2  2.764860066518330E+05   19.996430  4.608038  4.557459  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.4631  4.557459   -7.891  0.795929  7.585667  7.2675458E-01  2.6726108E-01  1.9194005E-05  5.2396930E-06  2.6635348E-03  1.0205297E-03  3.3964638E-06  4.6124235E-09  8.0215463E-04  6.9243741E-07  6.818E-06  6.898E-05  8.286E-05  9.585E-01  1.049E+00  7.12E+02  0.00E+00  2.51E+02  0.507367  0.054185  0.0000000E+00  3.3225773630E-01
  3  4.549160025357780E+05   19.994120  4.613126  4.555838  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874616E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  2.900E-18  0.4608  4.555838   -7.884  0.787652  7.583703  7.1845266E-01  2.7561170E-01  2.1372353E-05  5.8251095E-06  2.9991073E-03  6.3458045E-04  2.1294053E-06  2.1584646E-09  8.0092919E-04  1.1060790E-07  8.686E-06  6.688E-05  8.177E-05  9.594E-01  1.048E+00  7.07E+02  0.00E+00  2.47E+02  0.502333  0.054830  0.0000000E+00  3.3198015635E-01
  4  6.350967799629769E+05   19.991739  4.618299  4.554773  7.3805710E-01  2.5590040E-01  9.7849379E-04  1.1874731E-05  2.8232490E-04  2.4507751E-03  9.7097205E-07  5.5284601E-06  8.0438135E-04  6.5060718E-05  8.891E-15  0.4583  4.554773   -7.874  0.783233  7.583040  7.1015074E-01  2.8394037E-01  2.2656636E-05  6.1757022E-06  3.1837742E-03  4.2205619E-04  1.4165617E-06  1.5116169E-09  7.9980886E-04  1.2963713E-07  9.490E-06  6.593E-05  8.077E-05  9.592E-01  1.048E+00  7.03E+02  0.00E+00  2.46E+02  0.503236  0.055493  0.0000000E+00  3.3169364622E-01
  5  8.115961966498250E+05   19.989354  4.623559  4.553948  7.3805710E-01  2.5590040E-01  9.7849097E-04  1.1876909E-05  2.8232617E-04  2.4507749E-03  9.7097481E-07  5.5284534E-06  8.0438135E-04  6.5060697E-05  5.065E-13  0.4561  4.553948   -7.864  0.780657  7.582950  7.0184882E-01  2.9225843E-01  2.3544842E-05  6.4187629E-06  3.2950251E-03  2.9384394E-04  9.7361855E-07  1.0216335E-09  7.9873731E-04  1.1391558E-07  9.739E-06  6.497E-05  8.008E-05  9.592E-01  1.048E+00  7.00E+02  0.00E+00  2.45E+02  0.503382  0.056176  0.0000000E+00  3.3140447554E-01
  6  9.902787437614420E+05   19.986881  4.628955  4.553386  7.3805710E-01  2.5590040E-01  9.7846710E-04  1.1891963E-05  2.8234122E-04  2.4507718E-03  9.7100762E-07  5.5283852E-06  8.0438134E-04  6.5060409E-05  6.486E-12  0.4536  4.553386   -7.853  0.779219  7.583282  6.9354690E-01  3.0056972E-01  2.3991966E-05  6.5388273E-06  3.3607798E-03  2.1818515E-04  7.2461044E-07  7.1583014E-10  7.9769445E-04  1.2991128E-07  9.600E-06  6.431E-05  7.946E-05  9.590E-01  1.048E+00  6.97E+02  0.00E+00  2.44E+02  0.504743  0.056885  0.0000000E+00  3.3110249601E-01
  7  1.161708655285982E+06   19.984448  4.634154  4.552837  7.3805700E-01  2.5590050E-01  9.7837334E-04  1.1942224E-05  2.8241292E-04  2.4507554E-03  9.7116186E-07  5.5280867E-06  8.0438132E-04  6.5058944E-05  3.308E-11  0.4514  4.552837   -7.843  0.778173  7.583691  6.8524497E-01  3.0887818E-01  2.4428959E-05  6.6599590E-06  3.4054473E-03  1.6657246E-04  5.4585063E-07  5.7151624E-10  7.9666262E-04  1.1606828E-07  9.300E-06  6.376E-05  7.895E-05  9.586E-01  1.048E+00  6.94E+02  0.00E+00  2.45E+02  0.506652  0.057578  0.0000000E+00  3.3080331851E-01
  8  1.335642466357483E+06   19.981918  4.639577  4.552420  7.3805670E-01  2.5590080E-01  9.7809551E-04  1.2071615E-05  2.8265503E-04  2.4506953E-03  9.7167115E-07  5.5271391E-06  8.0438125E-04  6.5053786E-05  1.140E-10  0.4494  4.552420   -7.832  0.777662  7.584314  6.7694305E-01  3.1718366E-01  2.4599426E-05  6.7054513E-06  3.4312688E-03  1.3687010E-04  4.4853197E-07  4.8258312E-10  7.9564025E-04  1.3979557E-07  8.827E-06  6.327E-05  7.844E-05  9.583E-01  1.048E+00  6.91E+02  0.00E+00  2.45E+02  0.508717  0.058309  0.0000000E+00  3.3049014129E-01
