line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

  1  2.805366649599947E+04   59.976679  5.684087  4.691428  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.7101  4.691428   -6.083  0.465382  7.649102  7.3505160E-01  2.5887820E-01  2.6387549E-05  6.5862110E-06  2.0361856E-03  1.7268838E-03  2.7372961E-06  3.1562433E-08  8.0322634E-04  2.3414573E-05  3.679E-06  5.594E-05  5.384E-05  9.412E-01  1.085E+00  9.09E+02  0.00E+00  3.82E+02  0.592982  0.215227  0.0000000E+00  2.4770612301E+00
  2  9.751092221493096E+04   59.919435  5.688384  4.690065  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.7032  4.690065   -6.079  0.449830  7.644375  7.2657229E-01  2.6746308E-01  2.5068826E-05  6.8567202E-06  2.7852667E-03  8.7316016E-04  1.7308960E-06  3.3048725E-09  8.0100276E-04  3.5364737E-06  9.171E-06  4.938E-05  5.315E-05  9.526E-01  1.066E+00  9.00E+02  0.00E+00  3.39E+02  0.538986  0.217574  0.0000000E+00  2.4593865151E+00
  3  1.665662944545664E+05   59.861128  5.692026  4.688003  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874616E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  1.587E-17  0.6998  4.688003   -6.069  0.442206  7.642281  7.1809298E-01  2.7598805E-01  2.7738722E-05  7.5908839E-06  3.1007659E-03  5.0879109E-04  1.0137545E-06  2.1400620E-09  7.9919753E-04  1.3982164E-06  1.206E-05  4.818E-05  5.207E-05  9.529E-01  1.065E+00  8.93E+02  0.00E+00  3.36E+02  0.537269  0.219621  0.0000000E+00  2.4414778840E+00
  4  2.360851099507725E+05   59.801033  5.695769  4.686694  7.3805710E-01  2.5590040E-01  9.7849388E-04  1.1874639E-05  2.8232488E-04  2.4507751E-03  9.7097201E-07  5.5284602E-06  8.0438135E-04  6.5060718E-05  1.727E-14  0.6968  4.686694   -6.058  0.438893  7.641619  7.0961367E-01  2.8449081E-01  2.9200039E-05  7.9857849E-06  3.2631357E-03  3.2113631E-04  6.3933151E-07  1.8434676E-09  7.9753637E-04  1.1171865E-06  1.372E-05  4.745E-05  5.131E-05  9.529E-01  1.066E+00  8.88E+02  0.00E+00  3.34E+02  0.537503  0.221744  0.0000000E+00  2.4229460074E+00
  5  3.052621258757747E+05   59.739847  5.699570  4.685706  7.3805710E-01  2.5590040E-01  9.7849341E-04  1.1874836E-05  2.8232543E-04  2.4507749E-03  9.7097259E-07  5.5284582E-06  8.0438135E-04  6.5060705E-05  8.706E-13  0.6937  4.685706   -6.049  0.437498  7.641592  7.0113435E-01  2.9298299E-01  3.0001873E-05  8.2080355E-06  3.3532267E-03  2.1702381E-04  4.3081195E-07  1.4846780E-09  7.9594278E-04  1.0737275E-06  1.464E-05  4.677E-05  5.072E-05  9.529E-01  1.066E+00  8.84E+02  0.00E+00  3.32E+02  0.537281  0.223923  0.0000000E+00  2.4040020278E+00
  6  3.740574637656600E+05   59.677596  5.703417  4.684797  7.3805710E-01  2.5590040E-01  9.7848868E-04  1.1875799E-05  2.8233257E-04  2.4507720E-03  9.7098004E-07  5.5284337E-06  8.0438134E-04  6.5060540E-05  1.149E-11  0.6909  4.684797   -6.038  0.437064  7.641880  6.9265504E-01  3.0146955E-01  3.0476850E-05  8.3421911E-06  3.4048764E-03  1.5730607E-04  3.1102100E-07  1.2102446E-09  7.9438575E-04  1.0724497E-06  1.506E-05  4.594E-05  5.019E-05  9.533E-01  1.067E+00  8.79E+02  0.00E+00  3.29E+02  0.535276  0.226150  0.0000000E+00  2.3846466661E+00
  7  4.425857988111685E+05   59.614158  5.707315  4.684051  7.3805710E-01  2.5590050E-01  9.7846360E-04  1.1878857E-05  2.8237380E-04  2.4507550E-03  9.7102256E-07  5.5282969E-06  8.0438132E-04  6.5059575E-05  6.954E-11  0.6883  4.684051   -6.029  0.437165  7.642344  6.8417573E-01  3.0995300E-01  3.0763596E-05  8.4285367E-06  3.4348624E-03  1.2261016E-04  2.4113810E-07  8.8895311E-10  7.9285021E-04  1.0889970E-06  1.515E-05  4.568E-05  4.968E-05  9.527E-01  1.066E+00  8.76E+02  0.00E+00  3.30E+02  0.538434  0.228432  0.0000000E+00  2.3648451890E+00
  8  5.105983401025950E+05   59.549728  5.711214  4.683244  7.3805680E-01  2.5590070E-01  9.7837526E-04  1.1886424E-05  2.8252561E-04  2.4506912E-03  9.7117614E-07  5.5278051E-06  8.0438121E-04  6.5055992E-05  2.733E-10  0.6857  4.683244   -6.019  0.437509  7.642887  6.7569642E-01  3.1843468E-01  3.1019955E-05  8.4939877E-06  3.4527225E-03  1.0181270E-04  1.9889741E-07  1.0086471E-09  7.9132749E-04  1.1016430E-06  1.499E-05  4.522E-05  4.918E-05  9.524E-01  1.067E+00  8.72E+02  0.00E+00  3.29E+02  0.539621  0.230741  0.0000000E+00  2.3446365295E+00
