line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

  1  4.647681976465807E+04   31.994985  5.105973  4.625118  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.5679  4.625118   -6.980  0.641192  7.616324  7.3505570E-01  2.5886640E-01  2.0447394E-05  5.5056631E-06  1.9985939E-03  1.7783282E-03  3.5637363E-06  1.8333104E-08  8.0345661E-04  1.5209344E-05  3.375E-06  6.806E-05  6.761E-05  9.446E-01  1.070E+00  7.94E+02  0.00E+00  3.24E+02  0.577441  0.106582  0.0000000E+00  8.0544486207E-01
  2  1.611044426394103E+05   31.982822  5.112720  4.624719  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.5670  4.624719   -6.971  0.628838  7.613393  7.2661391E-01  2.6741169E-01  2.1746289E-05  5.9480929E-06  2.7256413E-03  9.4619216E-04  2.4282013E-06  3.1289907E-09  8.0162921E-04  1.2219793E-06  8.283E-06  5.988E-05  6.854E-05  9.558E-01  1.055E+00  7.87E+02  0.00E+00  2.86E+02  0.521793  0.108292  0.0000000E+00  8.0320073428E-01
  3  2.703152971098228E+05   31.971004  5.117461  4.623066  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874620E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  7.479E-17  0.5642  4.623066   -6.961  0.621056  7.611692  7.1817212E-01  2.7590076E-01  2.4231021E-05  6.6291232E-06  3.0521717E-03  5.6975754E-04  1.4706144E-06  1.9093418E-09  8.0012722E-04  4.2679641E-07  1.074E-05  5.876E-05  6.737E-05  9.558E-01  1.054E+00  7.82E+02  0.00E+00  2.85E+02  0.521963  0.109520  0.0000000E+00  8.0106599944E-01
  4  3.796936031653912E+05   31.958891  5.122300  4.621999  7.3805710E-01  2.5590040E-01  9.7849370E-04  1.1874824E-05  2.8232492E-04  2.4507751E-03  9.7097207E-07  5.5284599E-06  8.0438135E-04  6.5060717E-05  5.205E-14  0.5617  4.621999   -6.950  0.617240  7.611263  7.0973034E-01  2.8436793E-01  2.5692593E-05  7.0303911E-06  3.2268120E-03  3.6822144E-04  9.3953752E-07  1.3020247E-09  7.9874569E-04  4.1341272E-07  1.203E-05  5.775E-05  6.659E-05  9.559E-01  1.055E+00  7.77E+02  0.00E+00  2.83E+02  0.521547  0.110790  0.0000000E+00  7.9886392257E-01
  5  4.877861183179463E+05   31.946624  5.127173  4.621214  7.3805710E-01  2.5590040E-01  9.7849116E-04  1.1876845E-05  2.8232629E-04  2.4507746E-03  9.7097418E-07  5.5284532E-06  8.0438135E-04  6.5060682E-05  1.614E-12  0.5592  4.621214   -6.940  0.615245  7.611315  7.0128855E-01  2.9282416E-01  2.6505006E-05  7.2528846E-06  3.3271004E-03  2.5252576E-04  6.4247245E-07  9.4723185E-10  7.9742130E-04  4.2566208E-07  1.263E-05  5.718E-05  6.598E-05  9.555E-01  1.055E+00  7.74E+02  0.00E+00  2.83E+02  0.523391  0.112083  0.0000000E+00  7.9661837119E-01
  6  5.951404043261681E+05   31.934137  5.132040  4.620653  7.3805710E-01  2.5590040E-01  9.7847652E-04  1.1886001E-05  2.8233786E-04  2.4507704E-03  9.7099175E-07  5.5284050E-06  8.0438134E-04  6.5060374E-05  1.415E-11  0.5567  4.620653   -6.929  0.614082  7.611828  6.9284676E-01  3.0127430E-01  2.7017428E-05  7.3935115E-06  3.3854381E-03  1.8515951E-04  4.6844224E-07  7.4831101E-10  7.9612727E-04  4.7060175E-07  1.278E-05  5.667E-05  6.549E-05  9.553E-01  1.055E+00  7.71E+02  0.00E+00  2.82E+02  0.524930  0.113390  0.0000000E+00  7.9431744206E-01
  7  7.012637955637085E+05   31.921483  5.136853  4.620083  7.3805700E-01  2.5590050E-01  9.7842273E-04  1.1913475E-05  2.8238981E-04  2.4507510E-03  9.7106970E-07  5.5282047E-06  8.0438131E-04  6.5058966E-05  6.582E-11  0.5543  4.620083   -6.918  0.613286  7.612343  6.8440497E-01  3.0972097E-01  2.7364523E-05  7.4899160E-06  3.4203076E-03  1.4482371E-04  3.6390351E-07  7.9929156E-10  7.9484878E-04  5.1054689E-07  1.264E-05  5.603E-05  6.501E-05  9.552E-01  1.056E+00  7.67E+02  0.00E+00  2.81E+02  0.525533  0.114699  0.0000000E+00  7.9197063713E-01
  8  8.067598937138792E+05   31.908588  5.141749  4.619542  7.3805680E-01  2.5590080E-01  9.7829236E-04  1.1970281E-05  2.8253114E-04  2.4506973E-03  9.7127947E-07  5.5276849E-06  8.0438124E-04  6.5055107E-05  1.926E-10  0.5520  4.619542   -6.907  0.612826  7.612934  6.7596318E-01  3.1816562E-01  2.7599435E-05  7.5552284E-06  3.4411493E-03  1.2066849E-04  3.0115375E-07  8.4218370E-10  7.9357930E-04  5.4520568E-07  1.229E-05  5.551E-05  6.453E-05  9.549E-01  1.056E+00  7.64E+02  0.00E+00  2.81E+02  0.527025  0.116046  0.0000000E+00  7.8956195047E-01
