line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr     10^53 g cm2/s

  1  6.176686424366624E+04   24.997597  4.852759  4.592001  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.5063  4.592001   -7.421  0.728781  7.603541  7.3504120E-01  2.5887724E-01  1.7231220E-05  4.6772314E-06  1.9823156E-03  1.8015944E-03  4.2472952E-06  1.1126071E-08  8.0354915E-04  1.2853968E-05  3.134E-06  7.421E-05  7.364E-05  9.445E-01  1.067E+00  7.52E+02  0.00E+00  3.07E+02  0.578020  0.076147  0.0000000E+00  5.0492154595E-01
  2  2.106770608733844E+05   24.991990  4.856214  4.591423  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874615E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  0.000E+00  0.5118  4.591423   -7.421  0.713196  7.599305  7.2668250E-01  2.6733842E-01  2.0583256E-05  5.6271968E-06  2.6956568E-03  9.8201315E-04  2.8390743E-06  4.5553756E-09  8.0190100E-04  8.1424175E-07  7.591E-06  6.367E-05  7.516E-05  9.583E-01  1.050E+00  7.46E+02  0.00E+00  2.64E+02  0.508428  0.076772  0.0000000E+00  5.0408273404E-01
  3  3.494186887518584E+05   24.986680  4.861117  4.589724  7.3805710E-01  2.5590040E-01  9.7849391E-04  1.1874617E-05  2.8232487E-04  2.4507751E-03  9.7097199E-07  5.5284603E-06  8.0438135E-04  6.5060718E-05  3.719E-17  0.5088  4.589724   -7.413  0.705244  7.597391  7.1832380E-01  2.7574528E-01  2.2835514E-05  6.2391209E-06  3.0283639E-03  5.9904494E-04  1.7449475E-06  2.1753176E-09  8.0054548E-04  2.1350328E-07  9.764E-06  6.205E-05  7.401E-05  9.588E-01  1.050E+00  7.41E+02  0.00E+00  2.61E+02  0.505811  0.077661  0.0000000E+00  5.0331796591E-01
  4  4.895414741397913E+05   24.981199  4.866245  4.588652  7.3805710E-01  2.5590040E-01  9.7849375E-04  1.1874764E-05  2.8232491E-04  2.4507751E-03  9.7097207E-07  5.5284600E-06  8.0438135E-04  6.5060717E-05  3.855E-14  0.5067  4.588652   -7.403  0.701240  7.596786  7.0996510E-01  2.8413003E-01  2.4150962E-05  6.5970326E-06  3.2083091E-03  3.9176294E-04  1.1419128E-06  1.3637614E-09  7.9930428E-04  1.9053452E-07  1.081E-05  6.125E-05  7.317E-05  9.585E-01  1.049E+00  7.37E+02  0.00E+00  2.60E+02  0.507402  0.078600  0.0000000E+00  5.0252422888E-01
  5  6.300774868475760E+05   24.975570  4.871381  4.587887  7.3805710E-01  2.5590040E-01  9.7849068E-04  1.1877050E-05  2.8232668E-04  2.4507745E-03  9.7097516E-07  5.5284518E-06  8.0438135E-04  6.5060672E-05  1.613E-12  0.5042  4.587887   -7.392  0.698949  7.596768  7.0160640E-01  2.9250364E-01  2.4944542E-05  6.8147436E-06  3.3113895E-03  2.7295687E-04  7.9291188E-07  1.1283416E-09  7.9811831E-04  2.3730771E-07  1.120E-05  6.059E-05  7.246E-05  9.582E-01  1.049E+00  7.34E+02  0.00E+00  2.60E+02  0.508967  0.079553  0.0000000E+00  5.0170370516E-01
  6  7.680170110226016E+05   24.969905  4.876605  4.587264  7.3805710E-01  2.5590040E-01  9.7846844E-04  1.1890301E-05  2.8234424E-04  2.4507687E-03  9.7100604E-07  5.5283792E-06  8.0438134E-04  6.5060203E-05  1.607E-11  0.5020  4.587264   -7.381  0.697661  7.597060  6.9324769E-01  3.0087151E-01  2.5449364E-05  6.9517804E-06  3.3750656E-03  1.9954408E-04  5.7740246E-07  7.7837229E-10  7.9695879E-04  2.2611910E-07  1.121E-05  5.960E-05  7.193E-05  9.585E-01  1.050E+00  7.30E+02  0.00E+00  2.58E+02  0.507586  0.080535  0.0000000E+00  5.0087166280E-01
  7  9.068270898247046E+05   24.964057  4.881847  4.586754  7.3805700E-01  2.5590060E-01  9.7838070E-04  1.1933910E-05  2.8242664E-04  2.4507404E-03  9.7115024E-07  5.5280616E-06  8.0438130E-04  6.5057965E-05  7.638E-11  0.4996  4.586754   -7.370  0.696857  7.597537  6.8488899E-01  3.0923543E-01  2.5774706E-05  7.0404102E-06  3.4121756E-03  1.5670776E-04  4.5097978E-07  5.9304683E-10  7.9581586E-04  2.7210297E-07  1.093E-05  5.937E-05  7.138E-05  9.577E-01  1.050E+00  7.27E+02  0.00E+00  2.59E+02  0.511636  0.081532  0.0000000E+00  5.0000714256E-01
  8  1.041798852730692E+06   24.958224  4.887096  4.586227  7.3805660E-01  2.5590100E-01  9.7815044E-04  1.2033364E-05  2.8266633E-04  2.4506563E-03  9.7156595E-07  5.5271779E-06  8.0438119E-04  6.5051420E-05  2.303E-10  0.4976  4.586227   -7.359  0.696377  7.598108  6.7653029E-01  3.1759770E-01  2.6024525E-05  7.1092238E-06  3.4373351E-03  1.2761705E-04  3.6450462E-07  5.4803053E-10  7.9467853E-04  2.7640630E-07  1.053E-05  5.845E-05  7.094E-05  9.580E-01  1.051E+00  7.24E+02  0.00E+00  2.57E+02  0.510350  0.082542  0.0000000E+00  4.9913832515E-01
